epoch,train_loss,test_loss,train_accuracy,test_accuracy,weight_norm,time_seconds
0,4.5615153312683105,4.5851287841796875,0.018900344148278236,0.013530927710235119,28.235456466674805,11.512210369110107
10,4.34984016418457,4.659607410430908,0.07452749460935593,0.01073883194476366,28.76679229736328,19.18665885925293
20,3.8344130516052246,5.229237079620361,0.14153780043125153,0.010524054989218712,35.461978912353516,19.538949489593506
30,2.7111337184906006,6.43857479095459,0.36082473397254944,0.011383161880075932,43.86854553222656,19.81358528137207
40,1.6602004766464233,8.556784629821777,0.642826497554779,0.012457044795155525,51.468109130859375,20.10542392730713
50,0.9879444241523743,10.768892288208008,0.8438574075698853,0.013316151686012745,57.090980529785156,20.42815327644348
60,0.6284692883491516,12.378541946411133,0.9413660168647766,0.013745704665780067,60.80895233154297,20.748602628707886
70,0.4483107924461365,13.340253829956055,0.9817439913749695,0.013530927710235119,63.52534103393555,21.11174249649048
80,0.3378431797027588,13.83630657196045,0.9935567378997803,0.01417525764554739,65.62860870361328,21.426787614822388
90,0.27555233240127563,14.088781356811523,0.9991409182548523,0.01417525764554739,67.33842468261719,21.779925107955933
100,0.24075692892074585,14.308998107910156,0.9982817769050598,0.01417525764554739,68.83708190917969,22.121689558029175
110,0.2409747987985611,14.381386756896973,0.9948453903198242,0.015249141491949558,69.97079467773438,22.401772260665894
120,0.20161013305187225,14.253439903259277,0.9989261031150818,0.015249141491949558,70.8498764038086,22.70283794403076
130,0.1794627606868744,14.292411804199219,0.9991409182548523,0.015463917516171932,71.82935333251953,23.02984356880188
140,0.16498704254627228,14.38122844696045,0.9995704889297485,0.015463917516171932,72.78790283203125,23.32004690170288
150,0.16674256324768066,14.4837646484375,0.9980670213699341,0.015249141491949558,73.62491607666016,23.63198947906494
160,0.23098357021808624,14.540124893188477,0.9828178882598877,0.01675257831811905,74.2086181640625,23.92667055130005
170,0.15252050757408142,14.240615844726562,0.9991409182548523,0.01503436453640461,74.38136291503906,24.28028702735901
180,0.12376780062913895,14.192181587219238,1.0,0.015249141491949558,75.058349609375,24.608569383621216
190,0.12098109722137451,14.22950267791748,1.0,0.015463917516171932,75.86653137207031,24.915727853775024
200,0.11671634018421173,14.342716217041016,1.0,0.015249141491949558,76.60746002197266,25.244839429855347
210,0.16319455206394196,14.561319351196289,0.9914089441299438,0.015893470495939255,77.1574478149414,25.600685119628906
220,0.18585984408855438,14.368073463439941,0.988831639289856,0.014819587580859661,77.1867446899414,25.949511289596558
230,0.0976756140589714,14.120101928710938,1.0,0.01567869447171688,77.41576385498047,26.268181562423706
240,0.10117541998624802,13.953067779541016,1.0,0.017182130366563797,78.02947235107422,26.598939895629883
250,0.09850036352872849,14.018671035766602,1.0,0.016323024407029152,78.83966827392578,26.971118450164795
260,0.09408605843782425,14.164730072021484,1.0,0.015893470495939255,79.52969360351562,27.323174238204956
270,0.09002526104450226,14.294378280639648,1.0,0.015463917516171932,80.08540344238281,27.609929084777832
280,0.10290773212909698,14.43264102935791,0.9984965920448303,0.016108248382806778,80.5067138671875,27.88642144203186
290,0.2426425963640213,14.364840507507324,0.9735825061798096,0.017182130366563797,80.3042984008789,28.204599618911743
300,0.07792777568101883,14.047416687011719,1.0,0.01675257831811905,80.3154296875,28.497481107711792
310,0.08535795658826828,13.62109661102295,1.0,0.01675257831811905,80.65009307861328,28.800861597061157
320,0.08500078320503235,13.665569305419922,1.0,0.016967354342341423,81.56143951416016,29.05453634262085
330,0.08209890872240067,13.771333694458008,1.0,0.01675257831811905,82.4017333984375,29.311810731887817
340,0.07907512038946152,13.915023803710938,1.0,0.016967354342341423,83.09452819824219,29.589796543121338
350,0.07549566775560379,14.052488327026367,1.0,0.01675257831811905,83.63298797607422,29.857887744903564
360,0.0715814158320427,14.179093360900879,1.0,0.017182130366563797,84.03484344482422,30.13168978691101
370,0.068495973944664,14.294230461120605,1.0,0.016967354342341423,84.3310546875,30.437700986862183
380,0.16247621178627014,14.609436988830566,0.9828178882598877,0.016537800431251526,84.56271362304688,30.714133977890015
390,0.11381525546312332,14.32033920288086,0.9974226951599121,0.016537800431251526,84.04817199707031,31.025409936904907
400,0.06966082006692886,13.533730506896973,1.0,0.01675257831811905,83.77312469482422,31.454610347747803
410,0.07551585137844086,13.300737380981445,1.0,0.01675257831811905,84.57422637939453,31.871166944503784
420,0.07454821467399597,13.36103343963623,1.0,0.017182130366563797,85.68592071533203,32.20105171203613
430,0.07230023294687271,13.464098930358887,1.0,0.016967354342341423,86.64993286132812,32.57136917114258
440,0.06952545791864395,13.6060152053833,1.0,0.017182130366563797,87.4388656616211,32.828580379486084
450,0.06670249998569489,13.728326797485352,1.0,0.01675257831811905,88.05534362792969,33.115859508514404
460,0.06500767916440964,13.893350601196289,1.0,0.015893470495939255,88.5609130859375,33.3667778968811
470,0.06240968033671379,13.995464324951172,1.0,0.016967354342341423,88.86128234863281,33.64652633666992
480,0.05792344734072685,14.088330268859863,1.0,0.01675257831811905,89.06981658935547,33.93159341812134
490,0.05608680099248886,14.183878898620605,1.0,0.017182130366563797,89.23331451416016,34.18282747268677
500,0.5385905504226685,14.259247779846191,0.8702749013900757,0.016323024407029152,88.98908996582031,34.443257570266724
510,0.05515917390584946,13.999964714050293,1.0,0.016537800431251526,88.28112030029297,34.72081661224365
520,0.06431234627962112,13.211264610290527,1.0,0.01739690825343132,88.10672760009766,34.960620641708374
