epoch,train_flow_loss,val_flow_loss,time_seconds
1,1.8138048648834229,1.6135997772216797,13.387051343917847
2,1.4864602088928223,1.392668604850769,14.668553829193115
3,1.334755778312683,1.2964160442352295,14.80824589729309
4,1.2631783485412598,1.2481317520141602,14.919816732406616
5,1.2220865488052368,1.2202943563461304,15.013378858566284
6,1.1958990097045898,1.2057223320007324,15.1331205368042
7,1.172573447227478,1.195833444595337,15.260968685150146
8,1.1750837564468384,1.1811959743499756,15.364720344543457
9,1.161128044128418,1.1746203899383545,15.446576356887817
10,1.1477903127670288,1.167253017425537,15.539069175720215
11,1.1495441198349,1.162532925605774,20.48920178413391
12,1.1434943675994873,1.1585047245025635,20.57596206665039
13,1.1347479820251465,1.1544342041015625,20.705676555633545
14,1.1350687742233276,1.1527923345565796,20.82853674888611
15,1.1351860761642456,1.1513983011245728,20.97298264503479
16,1.1351218223571777,1.1490404605865479,21.101473808288574
17,1.128526210784912,1.1479589939117432,21.23093008995056
18,1.1231623888015747,1.1468504667282104,21.363383531570435
19,1.1274999380111694,1.144091010093689,21.471117734909058
20,1.1272461414337158,1.1410306692123413,21.565650463104248
21,1.1279404163360596,1.1446268558502197,24.398616552352905
22,1.1284153461456299,1.1469675302505493,24.47892689704895
23,1.1304179430007935,1.1420385837554932,24.567782640457153
24,1.1271530389785767,1.1436867713928223,24.652955055236816
25,1.12489914894104,1.1416462659835815,24.73584532737732
26,1.1303393840789795,1.1424176692962646,24.823999404907227
27,1.1205840110778809,1.14232337474823,24.921703815460205
28,1.1206996440887451,1.1394661664962769,25.006824493408203
29,1.120638370513916,1.1403400897979736,25.09288001060486
30,1.1200065612792969,1.139575719833374,25.17223286628723
31,1.1274603605270386,1.1433979272842407,27.580649852752686
32,1.1259993314743042,1.1392464637756348,27.675222396850586
33,1.1190654039382935,1.1423587799072266,27.76012420654297
34,1.1290059089660645,1.140915870666504,27.844981908798218
35,1.119616150856018,1.1441346406936646,27.932263374328613
36,1.125872015953064,1.140960931777954,28.025169849395752
37,1.1200551986694336,1.13872230052948,28.119028091430664
38,1.1186199188232422,1.1394834518432617,28.222031116485596
39,1.1214631795883179,1.1405788660049438,28.320794105529785
40,1.1244884729385376,1.140516996383667,28.412790298461914
41,1.1219449043273926,1.1427839994430542,30.924094676971436
42,1.1184638738632202,1.140176773071289,31.00866460800171
43,1.1160424947738647,1.1381486654281616,31.093804597854614
44,1.1185524463653564,1.1422843933105469,31.185316801071167
45,1.1227552890777588,1.137556552886963,31.269214391708374
46,1.1227091550827026,1.1408559083938599,31.363005876541138
47,1.122232437133789,1.1449196338653564,31.451082468032837
48,1.1221104860305786,1.14009690284729,31.547677040100098
49,1.1183592081069946,1.1401208639144897,31.634962797164917
50,1.115095615386963,1.1399610042572021,31.729302406311035
51,1.1255196332931519,1.1399568319320679,34.202213287353516
52,1.1179369688034058,1.1427593231201172,34.28666067123413
53,1.1175096035003662,1.1409188508987427,34.381710052490234
54,1.120775818824768,1.141824722290039,34.46356248855591
55,1.1259098052978516,1.1386574506759644,34.54680514335632
56,1.1162744760513306,1.13996422290802,34.633243560791016
57,1.1196235418319702,1.1393513679504395,34.71425700187683
58,1.1168073415756226,1.1405588388442993,34.80776643753052
59,1.1208209991455078,1.1393271684646606,34.904234886169434
60,1.1266100406646729,1.1400516033172607,35.00120496749878
61,1.1144468784332275,1.1382546424865723,37.72618627548218
62,1.1200968027114868,1.138447642326355,37.806294441223145
63,1.118686318397522,1.141282081604004,37.884637117385864
64,1.1187093257904053,1.1379965543746948,37.96794056892395
65,1.121677279472351,1.1426701545715332,38.05143594741821
66,1.1154775619506836,1.1415009498596191,38.135000467300415
67,1.1137096881866455,1.1398494243621826,38.216500997543335
68,1.1237319707870483,1.1404333114624023,38.30257701873779
69,1.117712378501892,1.1406168937683105,38.38846683502197
70,1.1155058145523071,1.1397405862808228,38.47745895385742
71,1.1141334772109985,1.1408207416534424,40.62905526161194
72,1.117110252380371,1.1425936222076416,40.71345138549805
73,1.1154712438583374,1.1386085748672485,40.80242156982422
74,1.1096311807632446,1.1398909091949463,40.880937576293945
75,1.1185749769210815,1.1404799222946167,40.96804857254028
76,1.1136926412582397,1.1391007900238037,41.05241513252258
77,1.1176872253417969,1.1407936811447144,41.13754105567932
78,1.1140549182891846,1.142981767654419,41.21778178215027
79,1.113590121269226,1.1406461000442505,41.3022358417511
80,1.1162402629852295,1.1420924663543701,41.390424966812134
81,1.1164337396621704,1.1406255960464478,44.143073081970215
82,1.1078327894210815,1.139622688293457,44.22958755493164
83,1.1226412057876587,1.1445097923278809,44.31787061691284
84,1.1136245727539062,1.1439155340194702,44.40929985046387
85,1.111695408821106,1.1403743028640747,44.49640989303589
86,1.114863634109497,1.1429895162582397,44.57959866523743
87,1.1121835708618164,1.1416184902191162,44.67179250717163
88,1.1154356002807617,1.1421332359313965,44.75551247596741
89,1.1091501712799072,1.1390056610107422,44.83904838562012
90,1.111960768699646,1.1420960426330566,44.93547749519348
91,1.1182152032852173,1.1421682834625244,47.29429531097412
92,1.1104860305786133,1.1417431831359863,47.38875722885132
93,1.115363359451294,1.1406042575836182,47.47423505783081
94,1.1222058534622192,1.1450315713882446,47.555490493774414
95,1.1157859563827515,1.1425178050994873,47.64242196083069
96,1.115875005722046,1.1434024572372437,47.71921181678772
97,1.1179778575897217,1.1461073160171509,47.80994629859924
98,1.1160932779312134,1.1414695978164673,47.89305138587952
99,1.114237904548645,1.1420738697052002,47.97287344932556
100,1.108615517616272,1.1429128646850586,48.064919233322144
