step,val_loglik_mse,val_loglik_mean,time_seconds,is_best
50,0.05327662453055382,-1.8271037340164185,20.61195135116577,1
100,0.08508879691362381,-1.8372312784194946,31.281007766723633,0
150,0.08309125900268555,-1.8401175737380981,39.354273319244385,0
200,0.099405437707901,-1.841174602508545,47.472342014312744,0
250,0.09866119176149368,-1.8443312644958496,55.531497955322266,0
300,0.11925555765628815,-1.8628299236297607,63.99224829673767,0
350,0.14290247857570648,-1.869309902191162,72.7692346572876,0
400,0.15584158897399902,-1.86381196975708,81.1681637763977,0
450,0.14364977180957794,-1.871233344078064,89.42225813865662,0
500,0.18571969866752625,-1.8795177936553955,98.07336783409119,0
